127.0.0.1, 2022-07-01 19:27:54, GET, /admin/default/edit/welcome/modules/__init__.py, HTTP/1.1, 200, 0.008008
127.0.0.1, 2022-07-01 19:27:54, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.055049
127.0.0.1, 2022-07-01 19:27:54, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.073065
127.0.0.1, 2022-07-01 19:27:54, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.102092
127.0.0.1, 2022-07-01 19:27:54, GET, /favicon.ico, HTTP/1.1, 400, 0.001002
127.0.0.1, 2022-07-01 19:27:54, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.084077
127.0.0.1, 2022-07-01 19:27:54, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.520473
127.0.0.1, 2022-07-01 19:27:56, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.037034
127.0.0.1, 2022-07-01 19:27:56, GET, /favicon.ico, HTTP/1.1, 400, 0.001001
127.0.0.1, 2022-07-01 19:28:10, GET, /admin, HTTP/1.1, 303, 0.002002
127.0.0.1, 2022-07-01 19:28:10, GET, /admin/default/site, HTTP/1.1, 200, 0.013011
127.0.0.1, 2022-07-01 19:28:10, GET, /admin/images/folder_locked.png, HTTP/1.1, 404, 0.003002
127.0.0.1, 2022-07-01 19:28:10, GET, /admin/images/folder.png, HTTP/1.1, 404, 0.005005
127.0.0.1, 2022-07-01 19:28:10, GET, /admin/images/glyphicons-halflings-white.png, HTTP/1.1, 404, 0.004003
127.0.0.1, 2022-07-01 19:28:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-07-01 19:29:58, POST, /admin/default/site, HTTP/1.1, 303, 0.219199
127.0.0.1, 2022-07-01 19:29:58, GET, /admin/default/design/sistema_distribuidos, HTTP/1.1, 200, 0.572520
127.0.0.1, 2022-07-01 19:29:59, GET, /favicon.ico, HTTP/1.1, 400, 0.001001
127.0.0.1, 2022-07-01 19:30:07, GET, /admin/default/index, HTTP/1.1, 303, 0.003002
127.0.0.1, 2022-07-01 19:30:07, GET, /admin/default/site, HTTP/1.1, 200, 0.014012
127.0.0.1, 2022-07-01 19:30:07, GET, /admin/images/folder_locked.png, HTTP/1.1, 404, 0.004004
127.0.0.1, 2022-07-01 19:30:07, GET, /admin/images/folder.png, HTTP/1.1, 404, 0.007007
127.0.0.1, 2022-07-01 19:30:07, GET, /admin/images/glyphicons-halflings-white.png, HTTP/1.1, 404, 0.008008
127.0.0.1, 2022-07-01 19:30:08, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2022-07-01 19:30:10, GET, /sistema_distribuidos/default/index, HTTP/1.1, 200, 0.223202
127.0.0.1, 2022-07-01 19:30:10, GET, /sistema_distribuidos/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.007006
127.0.0.1, 2022-07-01 19:30:10, GET, /sistema_distribuidos/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003003
127.0.0.1, 2022-07-01 19:30:10, GET, /sistema_distribuidos/static/css/calendar.css, HTTP/1.1, 200, 0.002001
127.0.0.1, 2022-07-01 19:30:10, GET, /sistema_distribuidos/static/js/jquery.js, HTTP/1.1, 200, 0.003002
127.0.0.1, 2022-07-01 19:30:10, GET, /sistema_distribuidos/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.006005
127.0.0.1, 2022-07-01 19:30:10, GET, /sistema_distribuidos/static/js/calendar.js, HTTP/1.1, 200, 0.002002
127.0.0.1, 2022-07-01 19:30:10, GET, /sistema_distribuidos/static/js/web2py.js, HTTP/1.1, 200, 0.004004
127.0.0.1, 2022-07-01 19:30:10, GET, /sistema_distribuidos/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001001
